Sl. No,Polling Station No,R KARTHIKEYAN.,J BADUSHA. SULTHAN,LARENEG EMAN K NAGAJOTHI.,EHT V MUNIYASAMY.,S SROTCELE,C VETRIKUMARAN.,OT NI,K K. THIRUVALAVAN. ARASU,ANBUMANIKANDAN TAMILSOORIYAN.K,K BASHA. SULTHAN,B SEBASTHIYAN.,IARUDAM M PREMKUMAR.,TSEW N RAMU.,M VENKATESAN.,rednet de,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
238,151(A),224,10,234,0,0,5,22,18,0,0,0,0,0,1,0,5,519,0,519,0
239,152,163,8,156,0,0,8,43,69,0,0,0,0,1,0,0,3,451,0,451,0
240,152(A),150,3,186,0,0,9,42,43,1,0,0,0,0,2,0,1,437,0,437,0
241,153,250,11,269,0,1,6,34,71,0,0,0,0,0,1,1,5,649,0,649,0
242,154,179,10,193,0,0,5,33,59,0,0,0,0,0,0,0,5,484,0,484,0
243,154(A),160,6,265,0,1,11,23,42,0,0,0,0,1,1,0,2,512,0,512,0
244,155,115,5,195,0,0,4,26,50,0,0,0,0,0,0,1,4,400,0,400,0
245,155(A),87,5,230,0,0,3,28,29,0,0,0,0,0,0,0,6,388,0,388,0
246,156,144,8,122,0,0,7,57,65,0,0,0,0,0,0,1,6,410,0,410,0
247,156(A),140,4,139,1,0,7,58,43,0,0,0,0,0,0,1,10,403,0,403,0
248,157,116,3,112,1,0,10,43,42,0,0,0,0,0,0,0,7,334,0,334,0
249,157(A),112,2,131,0,0,6,43,31,0,1,0,0,0,0,0,2,328,0,328,0
250,158,177,6,116,0,0,11,43,34,0,1,0,0,0,0,0,12,400,0,400,0
251,158(A),141,4,105,1,0,5,50,24,0,2,0,0,0,1,0,3,336,0,336,0
252,159,161,4,186,0,0,6,25,42,0,0,0,0,0,1,0,5,430,0,430,0
253,159(A),127,4,240,3,0,2,32,17,0,0,0,0,0,4,0,3,432,0,432,0
254,160,191,13,279,0,0,9,49,53,0,0,0,0,0,0,1,5,600,0,600,0
255,161,188,5,192,0,0,8,18,60,0,0,0,0,0,2,0,3,476,0,476,0
256,161(A),155,4,272,1,1,8,28,36,0,0,0,0,0,1,1,5,512,0,512,0
257,162,116,3,215,2,0,5,52,41,0,1,0,0,0,2,1,5,443,0,443,0
258,163,151,8,148,0,0,6,33,59,0,0,0,1,0,0,0,4,410,0,410,0
259,163(A),139,3,188,0,0,9,31,36,0,1,0,0,0,0,2,3,412,0,412,0
260,164,183,10,304,0,1,8,47,66,0,0,0,0,1,0,0,4,624,0,624,0
261,165,154,11,363,1,2,4,35,73,0,1,0,0,0,1,0,7,652,0,652,0
262,166,161,2,116,2,0,10,48,42,0,0,0,0,0,0,0,8,389,0,389,0
263,166(A),145,0,108,0,0,11,52,26,0,0,0,0,0,0,0,4,346,0,346,0
264,167,197,4,140,0,0,11,71,37,0,0,0,1,1,0,0,7,469,0,469,0
265,167(A),183,4,138,0,0,11,77,24,0,1,0,0,0,0,0,6,444,0,444,0
266,168,157,14,95,0,0,6,47,43,0,0,0,0,1,0,1,2,366,0,366,0
267,168(A),126,6,78,0,0,7,47,29,0,0,0,0,0,0,0,4,297,0,297,0
268,169,127,10,113,0,0,4,53,34,0,0,0,0,0,0,0,5,346,0,346,0
