Sl. No,Polling Station No,oT( lareneG C KUMAR. ASHOK Makkal katchi,eb desu rof ot ASA FAROOK. UMAR Democratic ia IND,gnidrocer eht limaT A BASHA. KAREEM Ulama Council,eeS( eht udaN V PARTHIBAN. Party Youth Development,)( gnitov evitalsigeL S.P MANI. Pensioners Party,tcudnoC ta traP MAHARUNNISHA Tamilar NTK,morf I S RAJA. Needhi MNM,seluR rehto eht L MURUGAN. IND,) naht deifiton RUBMA. P KANTH. RAJI IND,V.A GEORGE. IND,)snoitatS,rof noitpo,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
69,55,351,3,253,0,0,0,0,0,50,1,0,2,0,660,0,1,661,0
70,56,309,1,207,0,0,0,0,0,69,2,0,0,0,588,0,4,592,0
71,57M,241,1,171,1,4,0,0,1,40,1,0,0,0,460,0,3,463,0
72,57AW,307,1,150,0,0,0,0,1,21,3,1,1,1,486,0,2,488,0
73,58,199,1,328,2,4,0,1,1,8,5,1,1,0,551,0,7,558,0
74,59,379,3,224,1,0,0,0,0,41,3,0,0,0,651,0,4,655,0
75,60,279,1,235,0,2,0,1,0,84,3,1,0,1,607,0,5,612,0
76,61,466,1,183,1,0,0,0,0,18,1,1,2,1,674,0,7,681,0
77,62M,152,0,234,3,0,0,1,1,52,2,0,0,0,445,0,3,448,0
78,62AW,190,1,222,0,0,0,2,1,26,0,1,4,0,447,0,2,449,0
79,63,408,1,193,0,4,0,0,0,37,0,1,1,0,645,0,5,650,0
80,64M,129,1,156,0,1,0,0,1,50,3,0,0,0,341,0,7,348,0
81,64AW,154,2,186,0,3,1,1,0,16,4,0,0,2,369,0,1,370,0
82,65,108,0,394,1,7,0,0,0,51,5,0,0,1,567,0,4,571,0
83,66M,157,1,241,1,9,0,0,1,50,6,0,0,0,466,0,1,467,0
84,66AW,161,1,262,1,4,0,0,0,24,2,2,1,0,458,0,0,458,0
85,67M,148,1,223,0,3,0,0,0,56,1,1,0,1,434,0,2,436,0
86,67AW,178,1,257,2,0,0,0,0,24,3,3,0,0,468,0,1,469,0
87,68M,186,5,210,1,0,1,0,0,38,9,0,0,0,450,0,0,450,0
88,68AW,208,2,250,1,3,0,0,1,24,3,1,0,0,493,0,6,499,0
89,69M,189,4,158,0,6,0,1,1,38,5,0,1,0,403,0,6,409,0
90,69AW,209,2,190,0,4,1,0,0,24,7,1,0,1,439,0,3,442,0
91,70,238,1,403,0,5,0,1,0,62,7,1,2,0,720,0,4,724,0
92,71,169,2,285,1,1,0,0,0,54,4,1,0,0,517,0,4,521,0
93,72,195,2,206,0,0,1,1,1,53,4,0,2,1,466,0,3,469,0
94,73,304,0,291,0,4,0,1,4,40,10,0,0,0,654,0,10,664,0
95,74,277,1,220,0,4,0,2,3,35,5,0,0,1,548,0,5,553,0
96,75,324,1,312,1,2,0,1,0,55,4,0,1,0,701,0,6,707,0
97,76,485,2,319,1,3,0,0,0,19,6,1,0,1,837,0,11,848,0
98,77M,195,0,221,3,1,0,0,0,68,3,0,0,0,491,0,2,493,0
