Sl. No,Polling Station No,M. KANDHAN Tamilargal Kalagam NTK,S. SUNDARAM SHUNMUGA Party,S. IYYAPPAN PARAMASIVA Munnettra,Thiyagi,A. PRABAKARAN Katchi doss,LARENEG emaN srotcelE P. VEERAPANDI Katchi,eht ni,N. KUMAR ASHOK,T. KATHIRAVAN,OT ALNT D. KANDASAMY,TRAP,I IRENUGNAN D. BALAJI GNANA,S. MUTHUDURAI,H. MUTHURAJ,K. LENIN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
298,223,141,1,98,1,2,35,4,131,0,0,0,1,0,0,1,415,0,3,418,
299,224,37,1,143,1,1,4,1,67,0,0,0,1,0,0,0,256,0,1,257,
300,225,131,0,87,0,0,89,0,26,0,4,0,1,0,0,0,338,0,2,340,
301,225A,182,2,97,1,1,72,1,25,1,1,1,2,3,1,0,390,0,7,397,
302,226,156,3,150,2,1,62,0,47,2,3,3,2,2,4,2,439,0,7,446,
303,227,147,3,321,1,1,7,0,67,0,8,0,1,0,0,3,559,0,1,560,
304,228,145,4,398,3,2,3,0,87,0,0,0,2,1,0,0,645,0,8,653,
305,229,95,1,199,0,0,19,0,43,0,1,0,2,1,0,0,361,0,1,362,
306,230,209,2,169,1,1,38,1,45,4,4,0,3,0,1,0,478,0,3,481,
307,230A,224,1,180,0,0,33,1,26,3,3,3,3,0,3,1,481,0,3,484,
308,231,379,0,159,3,0,67,2,62,2,1,2,2,1,1,1,682,0,5,687,
309,232,337,1,247,2,1,17,2,43,0,0,3,10,1,1,0,665,0,5,670,
310,233,219,1,126,0,0,76,0,46,1,0,1,0,2,0,0,472,0,2,474,
311,233A,247,3,125,3,2,66,0,27,2,3,3,4,1,1,3,490,0,6,496,
312,234,136,4,103,1,0,48,0,60,0,4,1,0,0,0,1,358,0,4,362,
313,234A,143,0,152,1,2,54,1,53,0,2,2,0,0,2,1,413,0,5,418,
314,235,161,0,73,0,0,152,0,10,0,0,0,0,0,1,1,398,0,7,405,
315,235A,176,0,86,2,2,144,2,3,1,0,1,0,1,2,0,420,0,4,424,
316,236,143,1,129,1,0,71,0,15,0,0,0,1,0,0,0,361,0,7,368,
317,237,225,3,138,3,0,186,0,24,0,0,0,1,0,1,0,581,0,5,586,
318,238,162,1,139,0,1,62,0,47,0,0,0,0,0,0,0,412,0,4,416,
319,238A,194,2,152,0,2,51,0,24,0,0,0,1,1,2,0,429,0,6,435,
320,239,139,0,181,1,1,104,0,20,0,5,0,0,0,0,1,452,0,3,455,
321,240,91,1,96,0,0,462,4,17,3,0,13,0,0,6,1,694,0,4,698,
322,241,86,0,66,4,2,539,3,15,2,0,2,0,1,1,0,721,0,2,723,
323,242,49,0,55,1,0,267,1,3,0,1,2,0,0,7,1,387,0,4,391,
324,243,103,0,231,1,1,101,2,47,0,0,1,6,1,2,0,496,0,4,500,
325,244,111,0,188,1,2,46,3,47,1,4,0,1,0,0,2,406,0,3,409,
326,245,73,0,232,0,0,2,2,28,0,2,0,2,0,0,0,341,0,3,344,
327,245A,101,0,290,0,2,0,2,17,1,0,0,3,0,0,0,416,0,1,417,
328,246,159,1,110,2,3,305,1,21,0,0,5,4,2,6,1,620,0,1,621,
329,247,191,2,82,0,1,87,1,46,0,0,0,0,0,0,0,410,0,3,413,
330,247A,223,1,100,1,1,93,1,20,1,2,1,0,0,1,0,445,0,3,448,
331,248,142,0,88,0,0,72,4,55,11,7,2,13,0,0,3,397,0,2,399,
332,248A,196,3,134,0,0,83,4,48,0,10,2,5,0,1,3,489,0,6,495,
333,249,133,0,104,2,0,113,2,41,0,1,1,0,0,1,1,399,0,2,401,
334,249A,160,8,123,5,0,118,1,29,1,3,2,1,0,0,0,451,0,6,457,
335,250,69,2,63,0,0,2,0,10,0,0,0,3,0,0,0,149,0,0,149,
336,251,195,2,75,1,2,206,2,28,3,0,4,1,1,2,1,523,0,4,527,
337,252,237,3,203,3,1,85,1,63,1,1,0,2,0,0,1,601,0,2,603,
338,253,267,0,255,3,0,47,1,66,1,1,1,0,0,2,0,644,0,4,648,
339,254,382,0,231,0,3,9,0,57,0,1,1,3,1,1,7,696,0,4,700,
340,255,249,3,220,3,3,31,2,80,0,1,3,1,2,1,2,601,0,8,609,
341,256,175,1,169,1,0,44,1,29,2,0,1,2,1,0,0,426,0,4,430,
342,257,312,2,120,0,2,66,2,62,1,2,1,2,0,1,1,574,0,2,576,
343,258,248,3,134,2,1,127,0,58,2,1,2,0,1,0,0,579,0,8,587,
344,259,87,1,202,0,0,64,0,32,0,0,0,1,0,3,0,390,0,2,392,
345,260,137,2,240,0,0,10,1,139,0,2,0,2,1,3,0,537,0,5,542,
346,261,209,4,245,0,3,42,3,74,2,1,0,2,0,0,0,585,0,1,586,
