Sl. No,Polling Station No,"M.SUBRAMANIAN,(Alias)RAVICPI","M. SELVAKUMAR, DMDK","K.N. VIJEYAKUMAR, AIADMK","B. ALAGUSUNDARAM, KDA","S.EASWARAN,NTK","S.SIVABALAN,MNM","V. SENTHILKUMAR, MDATPA K","K. DEIVASIGAMANI, KMTE","S. UDHAYAKUMAR, IND","T.N. SENTHILKUMAR, IND","R. SENTHILKUMAR, IND","A. SENTHILVEL, IND","S. MURUGAPANDI, IND","M.RANGASAMY,IND",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
257,176,2,238,10,205,1,71,42,0,0,0,1,0,0,0,1,571,0,4,575,0
258,177,1,166,5,185,2,53,35,0,0,0,1,1,0,2,2,453,0,6,459,0
259,178,1,145,5,208,4,32,56,0,0,0,0,0,0,1,0,452,0,2,454,0
260,179,1,142,5,241,1,20,78,1,0,0,1,0,0,0,0,490,0,9,499,0
261,180,1,135,4,216,1,52,59,0,0,0,0,0,0,0,0,468,0,6,474,0
262,181,1,194,6,228,0,30,67,0,0,1,0,0,0,0,0,527,0,1,528,0
263,182,0,98,4,146,1,10,23,0,0,0,0,0,0,0,0,282,0,5,287,0
264,182A,0,104,3,140,2,28,29,0,1,0,0,0,0,1,0,308,0,3,311,0
265,183,0,117,2,207,0,21,83,0,0,0,0,0,0,0,1,431,0,1,432,0
266,184,1,207,6,283,3,33,36,0,4,0,0,0,0,2,0,575,0,3,578,0
267,185,1,150,10,195,0,30,31,0,0,0,0,0,0,0,0,417,0,5,422,0
268,185A,0,144,7,188,1,49,41,0,2,0,0,0,0,1,3,436,0,1,437,0
269,186,2,117,1,230,1,17,36,0,0,0,0,0,1,1,0,406,0,7,413,0
270,187,1,133,4,233,1,38,49,0,0,1,1,0,1,2,6,470,0,5,475,0
271,188,1,133,10,142,2,30,34,1,0,1,1,0,0,2,3,360,0,3,363,0
